Feature	Module	Term
LYN	cluster_175	['GO:0043407', 'GO:0060252']
MAP9	cluster_175	['GO:0072686']
NOTCH4	cluster_175	['GO:0030879']
PTPN7	cluster_175	['GO:0072686']
RACGAP1	cluster_175	['GO:0072686']
TBX3	cluster_175	['GO:0030879']
THBS1	cluster_175	['GO:0009749']
POLR2F	cluster_177	['GO:0000398']
WDR83	cluster_177	['GO:0000398']
ANGPT4	cluster_178	['GO:0045766']
CCR3	cluster_178	['GO:0045766']
DNM2	cluster_178	['GO:0045429']
KLF4	cluster_178	['GO:0045429']
PIK3CD	cluster_178	['GO:0045766']
ATM	cluster_179	['GO:0016572', 'GO:0030889']
COL4A3	cluster_179	['GO:0005604']
EYA3	cluster_179	['GO:0035335']
LAMA2	cluster_179	['GO:0005604']
PTPN23	cluster_179	['GO:0035335']
RPS6KA4	cluster_179	['GO:0016572']
SSH1	cluster_179	['GO:0035335']
TNFRSF21	cluster_179	['GO:0030889']
KRT36	cluster_18	['GO:0045616', 'GO:0070062']
LIFR	cluster_18	['GO:0070062']
SNTB2	cluster_18	['GO:0030658']
WNT3	cluster_18	['GO:0035115', 'GO:0070062']
CDC73	cluster_180	['GO:0006368']
CTDP1	cluster_180	['GO:0006368']
PRMT6	cluster_180	['GO:0006284']
RPA2	cluster_180	['GO:0006284']
AIFM2	cluster_181	['GO:0005811']
AQP1	cluster_181	['GO:0045766', 'GO:0071320']
BMP1	cluster_181	['GO:0061036']
CXCL8	cluster_181	['GO:0045766']
PRKCB	cluster_181	['GO:0045766']
RAP1B	cluster_181	['GO:0005811', 'GO:0035722', 'GO:0071320']
SERPINB2	cluster_181	['GO:0035722']
SOX6	cluster_181	['GO:0061036']
CRK	cluster_182	['GO:1990782']
FCRL3	cluster_182	['GO:1990782']
ARF1	cluster_184	['GO:0000139']
CBFA2T3	cluster_184	['GO:0000139']
CUX1	cluster_184	['GO:0000139']
ROCK1	cluster_184	['GO:0000139']
AKT2	cluster_185	['GO:0072659']
CASP3	cluster_185	['GO:0016241', 'GO:0016485', 'GO:0030216']
