HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:35325	MIR1260A		100302236.0
HGNC:38258	MIR1260B		100422991.0
HGNC:35327	MIR1261		100302228.0
HGNC:35328	MIR1262		100302279.0
HGNC:35329	MIR1263		100302148.0
HGNC:35246	MIR1264		100302251.0
HGNC:35332	MIR1265		100302116.0
HGNC:35334	MIR1266		100302202.0
HGNC:35335	MIR1267		100302286.0
HGNC:35336	MIR1268A		100302233.0
HGNC:41581	MIR1268B		100616121.0
HGNC:35337	MIR1269A		100302177.0
HGNC:41787	MIR1269B		100616494.0
HGNC:35338	MIR1270		100302179.0
HGNC:38387	MIR1270-2		
HGNC:35252	MIR1271		100302203.0
HGNC:35339	MIR1272		100302184.0
HGNC:35340	MIR1273A		
HGNC:38173	MIR1273C		100422821.0
HGNC:38375	MIR1273D		
HGNC:50833	MIR1273E		
HGNC:41733	MIR1273F		
HGNC:41684	MIR1273G		
HGNC:49973	MIR1273H		102466247.0
HGNC:35341	MIR1274A		
HGNC:35358	MIR1274B		
HGNC:35346	MIR1275		100302123.0
HGNC:35347	MIR1276		100302121.0
HGNC:35350	MIR1277		100302214.0
HGNC:35356	MIR1278		100302163.0
HGNC:35357	MIR1279		100302182.0
HGNC:35368	MIR1280		
HGNC:35359	MIR1281		100302237.0
HGNC:35360	MIR1282		100302254.0
HGNC:35255	MIR1283-1		100302265.0
HGNC:35361	MIR1283-2		100302205.0
HGNC:35362	MIR1284		100302112.0
HGNC:35277	MIR1285-1		100302218.0
HGNC:35278	MIR1285-2		100302268.0
HGNC:35279	MIR1286		100302118.0
HGNC:35280	MIR1287		100302133.0
HGNC:35363	MIR1288		100302124.0
HGNC:35281	MIR1289-1		100302125.0
HGNC:35282	MIR1289-2		100302134.0
HGNC:35283	MIR1290		100302276.0
HGNC:35284	MIR1291		100302221.0
HGNC:35364	MIR1292		100302138.0
HGNC:35286	MIR1293		100302220.0
HGNC:35287	MIR1294		100302181.0
HGNC:35288	MIR1295A		100302178.0
HGNC:43524	MIR1295B		100847009.0
HGNC:35249	MIR1296		100302150.0
HGNC:35289	MIR1297		100302187.0
HGNC:35258	MIR1298		100302153.0
HGNC:35290	MIR1299		100302167.0
HGNC:35291	MIR1300		
HGNC:35253	MIR1301		100302246.0
HGNC:35293	MIR1302-1		100302227.0
HGNC:35294	MIR1302-2		100302278.0
HGNC:52482	MIR1302-2HG		107985730.0
HGNC:35295	MIR1302-3		100302128.0
HGNC:35296	MIR1302-4		100302130.0
HGNC:35297	MIR1302-5		100302146.0
HGNC:35298	MIR1302-6		100302140.0
HGNC:35299	MIR1302-7		100302147.0
HGNC:35300	MIR1302-8		100302223.0
HGNC:38218	MIR1302-9		100422831.0
HGNC:55045	MIR1302-9HG		107987041.0
HGNC:38233	MIR1302-10		100422834.0
HGNC:38246	MIR1302-11		100422919.0
HGNC:35301	MIR1303		100302284.0
HGNC:35302	MIR1304		100302240.0
HGNC:35303	MIR1305		100302270.0
HGNC:35371	MIR1306		100302197.0
HGNC:35372	MIR1307		100302174.0
HGNC:35369	MIR1308		
HGNC:35373	MIR1321		100302171.0
HGNC:35374	MIR1322		100302166.0
HGNC:35251	MIR1323		100302255.0
HGNC:35377	MIR1324		100302212.0
HGNC:41902	MIR1343		100616437.0
HGNC:35250	MIR1468		100302115.0
HGNC:35378	MIR1469		100302258.0
HGNC:35379	MIR1470		100302127.0
HGNC:35380	MIR1471		100302126.0
HGNC:35381	MIR1537		100302139.0
HGNC:35382	MIR1538		100302119.0
HGNC:35383	MIR1539		100302257.0
HGNC:41596	MIR1587		100616251.0
HGNC:35389	MIR1825		100302183.0
HGNC:35390	MIR1826		
HGNC:35391	MIR1827		100302217.0
HGNC:54161	MIR1843		113839518.0
HGNC:35392	MIR1908		100302263.0
HGNC:35393	MIR1909		100302210.0
HGNC:35394	MIR1910		100302261.0
HGNC:35395	MIR1911		100302222.0
HGNC:35396	MIR1912		100302144.0
HGNC:35397	MIR1913		100302141.0
HGNC:35398	MIR1914		100302137.0
HGNC:35399	MIR1915		100302129.0
HGNC:31448	MIR1915HG	BC040880	399726.0
HGNC:37060	MIR1972-1		100302243.0
HGNC:38252	MIR1972-2		100422922.0
HGNC:37061	MIR1973		100302290.0
HGNC:37062	MIR1974		
HGNC:37063	MIR1975		
HGNC:37064	MIR1976		100302190.0
HGNC:37065	MIR1977		
HGNC:37066	MIR1978		
HGNC:37067	MIR1979		
HGNC:37068	MIR2052		100302260.0
